epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8748571276664734,0.0010000000474974513,0.37117379903793335,0.20000000298023224,3.1105244159698486
1,0.9594285488128662,0.0010000000474974513,0.11891171336174011,0.20000000298023224,4.798741340637207
2,0.9671428799629211,0.0010000000474974513,0.09599871188402176,0.20133332908153534,2.5066170692443848
3,0.9765714406967163,0.0010000000474974513,0.07680626213550568,0.5320000052452087,0.9818552136421204
4,0.9857142567634583,0.0010000000474974513,0.048521559685468674,0.5360000133514404,1.0804072618484497
5,0.9871428608894348,0.0010000000474974513,0.042151570320129395,0.7306666374206543,0.5956079363822937
6,0.9885714054107666,0.0010000000474974513,0.03456934541463852,0.8786666393280029,0.3637394309043884
7,0.9925714135169983,0.0010000000474974513,0.027884744107723236,0.2653333246707916,4.558414936065674
8,0.9934285879135132,0.0010000000474974513,0.024943558499217033,0.7080000042915344,1.2392499446868896
9,0.9954285621643066,0.0010000000474974513,0.018017901107668877,0.9493333101272583,0.1502842754125595
10,0.9968571662902832,0.0010000000474974513,0.01626398041844368,0.9546666741371155,0.12189286947250366
11,0.9957143068313599,0.0010000000474974513,0.017828984186053276,0.9933333396911621,0.027543365955352783
12,0.9888571500778198,0.0010000000474974513,0.03173310309648514,0.2213333398103714,12.826756477355957
13,0.9928571581840515,0.0010000000474974513,0.024169407784938812,0.4946666657924652,3.846534252166748
14,0.9954285621643066,0.0010000000474974513,0.0170055590569973,0.7213333249092102,1.6649227142333984
15,0.998285710811615,0.00010000000474974513,0.010197672061622143,0.9906666874885559,0.025553306564688683
16,0.998285710811615,0.00010000000474974513,0.007594690192490816,0.9893333315849304,0.02246374823153019
17,0.9988571405410767,0.00010000000474974513,0.00799580942839384,0.9893333315849304,0.02446013130247593
18,0.9994285702705383,0.00010000000474974513,0.006451139226555824,0.9879999756813049,0.026650290936231613
19,0.9994285702705383,0.00010000000474974513,0.006102340295910835,0.9906666874885559,0.020618986338377
20,0.9994285702705383,0.00010000000474974513,0.005552760325372219,0.9906666874885559,0.01958910934627056
21,0.9991428852081299,0.00010000000474974513,0.0057517411187291145,0.9906666874885559,0.02411242388188839
22,0.9994285702705383,0.00010000000474974513,0.006161646917462349,0.9906666874885559,0.021436797454953194
23,0.9991428852081299,0.00010000000474974513,0.005997872911393642,0.9866666793823242,0.03406556323170662
24,0.9991428852081299,1.0000000656873453e-05,0.005446624010801315,0.9893333315849304,0.022398261353373528
25,0.9997143149375916,1.0000000656873453e-05,0.004748231265693903,0.9906666874885559,0.021761039271950722
